"ng-star-inserted","ng-star-inserted 2","ng-star-inserted 3"
"Max","Avg","Min"
"15","12.5","8"
"12","9.4","7"
"7","4.8","3"
"8","3.0","0"
"8","4.3","0"
"2","-1.4","-3"
"4","2.5","1"
"5","3.8","3"
"4","3.3","3"
"5","3.5","2"
"4","3.3","2"
"8","6.0","4"
"9","7.1","5"
"7","5.3","4"
"6","4.5","3"
"4","2.0","0"
"3","2.1","1"
"2","-0.3","-3"
"3","0.2","-2"
"-1","-2.7","-4"
"2","1.0","-2"
"1","-0.1","-1"
"-1","-1.0","-1"
"-1","-1.9","-3"
"-1","-2.8","-4"
"0","-1.9","-3"
"2","0.6","-1"
"1","-0.9","-2"
"2","1.1","-1"
"3","1.9","1"
"3","2.1","1"
