"ng-star-inserted","ng-star-inserted 2","ng-star-inserted 3"
"Max","Avg","Min"
"16","13.5","11"
"13","11.5","10"
"11","5.3","1"
"9","3.9","-1"
"9","7.0","4"
"7","3.7","-1"
"8","5.4","3"
"7","4.2","1"
"5","3.2","1"
"6","4.3","3"
"7","4.2","1"
"10","7.2","4"
"9","7.6","5"
"9","6.3","4"
"8","5.9","3"
"7","2.9","1"
"7","2.1","-4"
"1","-0.2","-4"
"1","-0.9","-5"
"0","-2.1","-6"
"1","-0.2","-1"
"1","0.6","0"
"1","0.2","0"
"1","0.2","0"
"0","-0.2","-1"
"0","0.0","0"
"1","-0.1","-1"
"-1","-1.5","-3"
"0","-0.8","-2"
"4","1.4","-1"
"7","3.2","2"
