"ng-star-inserted","ng-star-inserted 2","ng-star-inserted 3"
"Max","Avg","Min"
"19","14.8","11"
"14","10.2","6"
"11","7.3","4"
"7","2.6","-3"
"9","7.1","3"
"2","0.8","0"
"7","3.8","1"
"4","3.1","2"
"7","4.9","3"
"6","5.2","2"
"4","2.9","2"
"9","6.0","3"
"9","7.3","6"
"8","5.7","3"
"8","5.2","4"
"5","3.3","1"
"5","2.6","-1"
"3","1.5","0"
"3","2.0","1"
"2","1.1","0"
"2","1.1","0"
"2","1.5","1"
"2","1.5","1"
"3","2.3","1"
"1","-0.7","-1"
"1","-0.0","-1"
"2","0.3","-1"
"1","0.0","-1"
"0","-0.6","-2"
"3","0.9","-1"
"4","2.6","1"
