"ng-star-inserted","ng-star-inserted 2","ng-star-inserted 3"
"Max","Avg","Min"
"17","14.9","11"
"14","11.5","9"
"11","6.7","-1"
"10","4.5","-3"
"12","8.8","5"
"9","4.8","-1"
"11","5.8","2"
"9","3.6","-1"
"8","4.1","0"
"7","5.1","4"
"8","4.8","1"
"10","7.4","5"
"11","8.7","5"
"9","6.3","4"
"10","6.8","3"
"7","3.7","1"
"7","2.8","-4"
"2","1.0","-3"
"2","-0.3","-4"
"2","-1.6","-5"
"1","-0.3","-2"
"1","0.9","0"
"2","1.2","1"
"3","2.0","1"
"2","1.9","1"
"2","1.0","0"
"1","0.6","0"
"1","-0.9","-2"
"1","-0.5","-2"
"4","1.5","-1"
"5","3.6","1"
