Date,temp_max,temp_min
2023-01-01,15,8
2023-01-02,12,7
2023-01-03,7,3
2023-01-04,8,0
2023-01-05,8,0
2023-01-06,2,-3
2023-01-07,4,1
2023-01-08,5,3
2023-01-09,4,3
2023-01-10,5,2
2023-01-11,4,2
2023-01-12,8,4
2023-01-13,9,5
2023-01-14,7,4
2023-01-15,6,3
2023-01-16,4,0
2023-01-17,3,1
2023-01-18,2,-3
2023-01-19,3,-2
2023-01-20,-1,-4
2023-01-21,2,-2
2023-01-22,1,-1
2023-01-23,-1,-1
2023-01-24,-1,-3
2023-01-25,-1,-4
2023-01-26,0,-3
2023-01-27,2,-1
2023-01-28,1,-2
2023-01-29,2,-1
2023-01-30,3,1
2023-01-31,3,1
