Date,temp_max,temp_min
2023-01-01,15,3
2023-01-02,12,-1
2023-01-03,10,3
2023-01-04,9,-3
2023-01-05,10,5
2023-01-06,8,1
2023-01-07,11,-1
2023-01-08,7,-2
2023-01-09,9,0
2023-01-10,6,4
2023-01-11,7,0
2023-01-12,9,2
2023-01-13,11,-1
2023-01-14,8,-2
2023-01-15,9,-2
2023-01-16,4,-1
2023-01-17,7,-1
2023-01-18,3,-1
2023-01-19,2,-1
2023-01-20,0,-4
2023-01-21,1,-1
2023-01-22,1,0
2023-01-23,2,0
2023-01-24,2,1
2023-01-25,2,0
2023-01-26,0,-1
2023-01-27,0,-1
2023-01-28,0,-1
2023-01-29,-1,-3
2023-01-30,3,-5
2023-01-31,2,0
