Date,temp_max,temp_min
2023-01-01,19,11
2023-01-02,14,6
2023-01-03,11,4
2023-01-04,7,-3
2023-01-05,9,3
2023-01-06,2,0
2023-01-07,7,1
2023-01-08,4,2
2023-01-09,7,3
2023-01-10,6,2
2023-01-11,4,2
2023-01-12,9,3
2023-01-13,9,6
2023-01-14,8,3
2023-01-15,8,4
2023-01-16,5,1
2023-01-17,5,-1
2023-01-18,3,0
2023-01-19,3,1
2023-01-20,2,0
2023-01-21,2,0
2023-01-22,2,1
2023-01-23,2,1
2023-01-24,3,1
2023-01-25,1,-1
2023-01-26,1,-1
2023-01-27,2,-1
2023-01-28,1,-1
2023-01-29,0,-2
2023-01-30,3,-1
2023-01-31,4,1
