Date,temp_max,temp_min
2023-01-01,17,11
2023-01-02,14,9
2023-01-03,11,-1
2023-01-04,10,-3
2023-01-05,12,5
2023-01-06,9,-1
2023-01-07,11,2
2023-01-08,9,-1
2023-01-09,8,0
2023-01-10,7,4
2023-01-11,8,1
2023-01-12,10,5
2023-01-13,11,5
2023-01-14,9,4
2023-01-15,10,3
2023-01-16,7,1
2023-01-17,7,-4
2023-01-18,2,-3
2023-01-19,2,-4
2023-01-20,2,-5
2023-01-21,1,-2
2023-01-22,1,0
2023-01-23,2,1
2023-01-24,3,1
2023-01-25,2,1
2023-01-26,2,0
2023-01-27,1,0
2023-01-28,1,-2
2023-01-29,1,-2
2023-01-30,4,-1
2023-01-31,5,1
