City,Date,temp_max,temp_min
Warszawa,2023-01-01,19,11
Warszawa,2023-01-02,14,6
Warszawa,2023-01-03,11,4
Warszawa,2023-01-04,7,-3
Warszawa,2023-01-05,9,3
Warszawa,2023-01-06,2,0
Warszawa,2023-01-07,7,1
Warszawa,2023-01-08,4,2
Warszawa,2023-01-09,7,3
Warszawa,2023-01-10,6,2
Warszawa,2023-01-11,4,2
Warszawa,2023-01-12,9,3
Warszawa,2023-01-13,9,6
Warszawa,2023-01-14,8,3
Warszawa,2023-01-15,8,4
Warszawa,2023-01-16,5,1
Warszawa,2023-01-17,5,-1
Warszawa,2023-01-18,3,0
Warszawa,2023-01-19,3,1
Warszawa,2023-01-20,2,0
Warszawa,2023-01-21,2,0
Warszawa,2023-01-22,2,1
Warszawa,2023-01-23,2,1
Warszawa,2023-01-24,3,1
Warszawa,2023-01-25,1,-1
Warszawa,2023-01-26,1,-1
Warszawa,2023-01-27,2,-1
Warszawa,2023-01-28,1,-1
Warszawa,2023-01-29,0,-2
Warszawa,2023-01-30,3,-1
Warszawa,2023-01-31,4,1
Warszawa,2023-02-01,5,2
Warszawa,2023-02-02,3,0
Warszawa,2023-02-03,1,-2
Warszawa,2023-02-04,-1,-5
Warszawa,2023-02-05,-2,-8
Warszawa,2023-02-06,-2,-8
Warszawa,2023-02-07,0,-7
Warszawa,2023-02-08,1,-6
Warszawa,2023-02-09,2,-8
Warszawa,2023-02-10,2,-2
Warszawa,2023-02-11,5,1
Warszawa,2023-02-12,3,0
Warszawa,2023-02-13,6,3
Warszawa,2023-02-14,5,2
Warszawa,2023-02-15,3,0
Warszawa,2023-02-16,7,-3
Warszawa,2023-02-17,10,3
Warszawa,2023-02-18,9,2
Warszawa,2023-02-19,5,1
Warszawa,2023-02-20,8,1
Warszawa,2023-02-21,8,4
Warszawa,2023-02-22,4,4
Gdańsk,2023-02-01,4,1
Gdańsk,2023-02-02,3,-3
Gdańsk,2023-02-03,0,-4
Gdańsk,2023-02-04,0,-4
Gdańsk,2023-02-05,0,-10
Gdańsk,2023-02-06,1,-5
Gdańsk,2023-02-07,1,-3
Gdańsk,2023-02-08,-1,-4
Gdańsk,2023-02-09,0,-5
Gdańsk,2023-02-10,3,-1
Gdańsk,2023-02-11,6,1
Gdańsk,2023-02-12,5,-3
Gdańsk,2023-02-13,8,2
Gdańsk,2023-02-14,5,2
Gdańsk,2023-02-15,4,1
Gdańsk,2023-02-16,7,0
Gdańsk,2023-02-17,9,5
